Arrest,Hour,Primary Type_BATTERY,Primary Type_CRIMINAL DAMAGE,Primary Type_THEFT,Domestic_False,Domestic_True
False,15,0,0,0,0,1
False,8,0,1,0,1,0
True,18,0,0,0,1,0
False,14,0,0,0,1,0
True,21,0,1,0,0,1
True,21,0,0,0,1,0
False,22,0,0,0,1,0
False,16,0,0,1,1,0
False,10,0,0,0,1,0
True,23,0,0,0,1,0
False,10,0,0,1,1,0
True,23,0,0,0,1,0
True,8,0,0,0,1,0
False,5,0,0,0,1,0
False,19,1,0,0,0,1
False,9,1,0,0,1,0
False,20,0,0,1,1,0
False,20,0,1,0,0,1
False,16,0,0,0,1,0
True,14,0,0,0,1,0
False,16,0,0,1,1,0
False,3,1,0,0,1,0
False,14,0,0,1,1,0
False,23,1,0,0,1,0
True,0,1,0,0,1,0
False,6,0,0,1,0,1
False,13,0,0,0,1,0
False,18,0,0,0,1,0
False,15,0,0,0,1,0
False,21,0,0,1,1,0
False,21,1,0,0,0,1
False,7,0,0,0,1,0
False,23,0,0,0,1,0
False,17,0,1,0,1,0
False,10,0,0,0,1,0
False,15,0,0,1,1,0
False,10,1,0,0,1,0
True,23,0,1,0,1,0
False,9,0,0,0,1,0
False,15,0,0,0,1,0
False,17,0,0,1,1,0
False,12,0,0,0,1,0
False,20,1,0,0,1,0
False,1,0,0,0,1,0
False,20,0,0,0,1,0
False,15,0,0,0,1,0
False,20,0,0,0,0,1
False,17,0,1,0,1,0
False,20,0,0,0,1,0
True,8,0,0,0,1,0
False,19,0,0,0,1,0
False,9,0,0,0,1,0
False,17,0,0,1,1,0
False,0,0,0,0,1,0
False,8,0,0,0,1,0
True,22,1,0,0,1,0
True,12,0,0,0,1,0
False,11,0,0,0,1,0
False,14,0,0,0,1,0
False,19,1,0,0,1,0
False,14,0,0,0,1,0
False,0,0,0,0,0,1
False,9,0,0,0,1,0
False,9,0,0,1,1,0
False,8,0,0,0,1,0
False,11,0,1,0,1,0
True,22,0,0,0,1,0
False,14,0,0,0,1,0
False,13,0,1,0,1,0
False,12,0,0,0,1,0
False,14,1,0,0,1,0
False,14,0,0,1,1,0
False,0,0,1,0,1,0
False,0,1,0,0,0,1
False,9,0,0,0,0,1
False,17,1,0,0,0,1
False,10,0,0,1,1,0
True,21,0,0,0,1,0
False,16,1,0,0,0,1
True,18,0,0,1,1,0
False,0,0,0,0,1,0
True,21,0,0,1,1,0
True,9,0,0,0,1,0
False,18,0,0,0,1,0
False,9,0,0,0,1,0
False,9,0,0,1,1,0
True,16,0,0,1,1,0
True,18,0,0,0,1,0
False,22,0,0,1,1,0
False,18,0,0,0,1,0
False,12,0,0,1,1,0
False,19,0,0,1,1,0
False,12,0,1,0,1,0
False,0,0,0,1,1,0
False,13,0,0,1,1,0
True,22,0,0,0,1,0
True,12,0,0,0,1,0
True,18,0,0,0,1,0
True,0,0,0,0,1,0
True,23,0,0,0,1,0
False,13,0,0,0,1,0
True,19,0,0,0,1,0
False,8,0,0,0,1,0
False,21,0,0,0,1,0
False,18,0,0,0,1,0
False,11,0,0,0,1,0
False,22,0,0,1,1,0
False,0,0,1,0,1,0
False,15,0,0,0,0,1
False,16,1,0,0,1,0
True,13,0,0,0,1,0
False,19,0,0,1,1,0
True,7,0,0,0,1,0
False,18,0,0,0,1,0
False,8,0,0,0,0,1
True,14,1,0,0,1,0
False,0,0,0,0,1,0
False,21,0,0,0,0,1
False,0,1,0,0,0,1
False,14,0,0,0,1,0
False,13,0,0,1,1,0
False,10,0,0,0,1,0
True,18,1,0,0,1,0
False,1,0,1,0,1,0
True,18,0,0,0,1,0
False,17,0,1,0,1,0
False,5,1,0,0,1,0
False,0,0,0,0,1,0
False,18,0,0,1,1,0
False,2,0,0,0,1,0
True,10,0,0,0,1,0
False,1,0,0,0,1,0
False,20,0,1,0,1,0
False,7,0,1,0,1,0
True,18,0,0,0,1,0
False,20,0,0,0,1,0
False,12,0,0,1,1,0
True,8,0,0,0,1,0
False,12,0,0,1,1,0
False,14,0,0,0,1,0
False,20,0,0,1,1,0
True,14,0,0,0,1,0
True,13,0,0,0,1,0
True,2,0,0,0,1,0
False,11,0,0,0,1,0
False,16,0,0,0,1,0
False,17,0,1,0,1,0
False,11,0,0,0,1,0
False,19,0,0,0,1,0
False,23,1,0,0,0,1
False,8,0,0,1,1,0
False,15,0,0,1,1,0
True,7,0,0,0,1,0
False,20,0,0,0,1,0
True,14,0,0,0,1,0
False,19,0,0,0,1,0
False,0,0,0,0,1,0
False,12,0,0,0,1,0
True,22,1,0,0,1,0
True,8,1,0,0,1,0
False,10,0,0,0,1,0
False,16,0,0,0,1,0
False,14,1,0,0,0,1
False,12,0,0,0,1,0
False,16,1,0,0,1,0
False,16,0,0,0,1,0
True,10,0,0,0,0,1
False,19,0,0,1,1,0
False,10,0,0,0,1,0
False,13,0,0,1,1,0
False,4,0,0,1,1,0
False,9,0,0,0,1,0
True,19,0,0,0,1,0
False,7,0,0,0,1,0
False,12,0,0,0,1,0
False,22,0,0,0,1,0
False,23,1,0,0,1,0
False,18,0,0,0,1,0
False,21,0,0,1,1,0
True,10,0,0,0,1,0
True,17,0,0,0,1,0
False,22,1,0,0,0,1
True,7,0,0,0,1,0
False,7,1,0,0,1,0
False,18,0,0,1,1,0
False,19,0,0,0,1,0
True,10,0,0,0,0,1
True,15,0,0,1,1,0
False,12,0,0,0,1,0
False,16,0,0,0,1,0
False,3,0,0,0,1,0
False,13,1,0,0,1,0
False,15,0,0,0,1,0
False,19,1,0,0,0,1
False,22,0,0,1,1,0
False,21,0,0,0,1,0
True,22,0,0,0,1,0
True,23,1,0,0,0,1
False,9,0,0,0,1,0
True,8,0,1,0,1,0
False,15,0,0,0,1,0
False,3,1,0,0,1,0
False,23,0,1,0,1,0
False,16,0,1,0,1,0
False,22,0,0,1,1,0
True,14,0,0,0,1,0
False,16,0,0,1,1,0
True,13,0,0,0,1,0
False,5,0,0,0,1,0
False,16,0,0,0,1,0
False,12,0,0,0,1,0
False,1,0,0,1,1,0
False,15,0,0,1,1,0
False,22,0,1,0,0,1
False,7,1,0,0,0,1
True,18,0,0,1,1,0
True,2,1,0,0,0,1
True,17,0,0,0,1,0
False,13,0,0,1,1,0
True,10,0,0,1,1,0
False,23,0,1,0,1,0
False,20,0,0,0,1,0
False,20,0,0,0,1,0
False,11,1,0,0,1,0
False,20,0,1,0,1,0
False,15,0,0,0,1,0
False,20,0,0,0,1,0
False,11,0,0,0,1,0
False,17,1,0,0,1,0
False,14,0,0,0,1,0
False,19,0,0,0,1,0
False,17,0,0,1,1,0
False,7,0,0,1,1,0
False,9,0,1,0,1,0
False,21,0,0,1,1,0
False,10,0,0,0,1,0
False,20,0,0,1,1,0
True,21,0,0,0,1,0
True,10,1,0,0,0,1
True,15,1,0,0,1,0
True,22,1,0,0,1,0
True,15,0,0,0,1,0
True,16,0,0,0,1,0
False,21,0,1,0,0,1
False,23,1,0,0,1,0
True,2,1,0,0,1,0
True,20,0,0,0,1,0
False,12,0,0,0,1,0
True,16,1,0,0,1,0
False,20,0,1,0,1,0
True,1,1,0,0,1,0
True,2,1,0,0,1,0
False,16,0,1,0,1,0
False,22,0,1,0,1,0
False,19,0,0,0,0,1
False,10,0,0,1,1,0
False,6,0,0,1,1,0
False,16,0,0,0,1,0
True,19,0,0,1,1,0
False,18,0,0,1,1,0
False,6,0,0,0,1,0
False,18,0,0,0,1,0
False,7,0,1,0,1,0
False,19,1,0,0,1,0
False,13,0,0,0,1,0
False,19,0,0,1,0,1
False,12,1,0,0,0,1
False,11,0,1,0,1,0
True,14,0,0,0,1,0
False,4,0,0,0,1,0
False,9,0,0,0,1,0
False,18,0,0,1,1,0
False,22,0,0,0,1,0
False,16,0,0,0,1,0
False,20,0,0,1,1,0
False,4,0,1,0,1,0
False,14,1,0,0,1,0
False,7,0,0,1,1,0
False,16,0,0,0,1,0
False,16,1,0,0,0,1
False,20,0,0,0,0,1
False,1,0,0,0,1,0
False,13,0,0,0,1,0
False,6,0,0,1,1,0
False,13,0,0,1,1,0
False,11,0,0,1,1,0
False,2,1,0,0,0,1
False,10,0,0,1,1,0
False,17,0,0,0,1,0
False,23,0,0,0,1,0
False,15,1,0,0,1,0
False,18,0,0,0,0,1
False,14,0,0,0,1,0
False,19,0,0,0,1,0
False,12,0,0,0,1,0
False,18,0,0,1,1,0
False,20,1,0,0,0,1
False,20,0,0,1,1,0
False,10,1,0,0,0,1
False,20,0,0,0,1,0
False,21,0,0,0,0,1
True,22,0,0,0,1,0
False,12,0,0,1,1,0
False,2,0,0,0,1,0
True,21,0,0,0,1,0
False,0,1,0,0,0,1
False,11,0,1,0,1,0
True,23,0,0,0,1,0
True,1,0,0,0,1,0
False,9,0,0,0,1,0
False,12,0,0,1,1,0
True,15,0,0,0,1,0
False,19,0,0,0,1,0
False,16,0,0,0,1,0
False,17,0,1,0,1,0
False,5,0,0,0,1,0
False,6,0,0,0,1,0
False,12,0,0,1,1,0
False,20,0,0,0,0,1
False,18,0,0,0,1,0
False,8,0,0,1,1,0
True,19,0,0,0,1,0
False,19,1,0,0,1,0
False,15,0,0,0,1,0
False,10,0,0,1,1,0
False,10,0,0,0,1,0
False,11,0,0,0,1,0
True,12,1,0,0,1,0
False,9,0,0,1,1,0
False,16,0,0,1,0,1
True,16,1,0,0,1,0
False,20,0,0,0,1,0
False,19,0,0,0,0,1
False,20,0,0,1,1,0
True,16,0,0,1,1,0
False,3,0,0,0,1,0
False,18,0,1,0,1,0
False,10,0,0,0,1,0
False,13,0,0,0,1,0
True,18,0,0,0,1,0
False,12,0,1,0,1,0
False,0,1,0,0,0,1
False,0,0,1,0,1,0
False,17,0,0,0,1,0
False,8,0,0,1,1,0
False,8,0,1,0,1,0
False,19,0,0,0,1,0
False,1,1,0,0,0,1
False,19,1,0,0,1,0
False,20,0,0,0,1,0
False,6,0,0,0,1,0
False,20,0,0,0,1,0
False,11,0,0,0,1,0
True,19,0,0,0,1,0
True,23,0,0,0,1,0
False,12,0,0,1,1,0
True,8,0,0,0,1,0
False,20,0,0,0,1,0
False,8,0,0,0,1,0
False,5,0,1,0,1,0
True,21,0,0,0,1,0
False,9,0,0,1,1,0
False,6,0,0,0,1,0
False,18,0,0,0,1,0
False,23,0,0,1,1,0
False,3,0,1,0,0,1
False,19,0,0,1,1,0
False,19,0,0,1,1,0
True,15,0,1,0,1,0
False,7,0,1,0,1,0
False,9,0,0,0,1,0
True,19,0,0,0,1,0
False,15,0,1,0,1,0
False,15,0,0,0,1,0
False,11,0,0,1,1,0
False,21,0,0,0,1,0
False,17,0,0,0,1,0
False,14,0,0,1,1,0
True,1,0,0,0,1,0
False,2,0,0,0,1,0
False,17,0,0,1,1,0
False,9,0,0,1,1,0
True,11,0,0,0,0,1
False,21,1,0,0,0,1
False,16,0,0,0,1,0
False,12,0,0,1,1,0
True,14,0,1,0,1,0
False,15,0,0,1,1,0
False,3,0,1,0,1,0
False,3,0,0,0,0,1
False,17,1,0,0,0,1
False,15,0,0,0,1,0
True,11,0,0,0,1,0
False,19,0,0,1,1,0
False,19,1,0,0,1,0
False,16,0,0,0,1,0
True,21,0,0,0,1,0
False,19,0,0,1,1,0
True,12,0,0,0,1,0
False,22,0,0,0,1,0
True,9,0,0,0,1,0
False,1,0,0,0,0,1
False,1,0,0,1,1,0
False,6,0,0,0,1,0
False,12,0,0,1,1,0
False,11,0,0,0,1,0
True,16,0,1,0,1,0
False,12,0,0,0,0,1
False,17,0,0,0,0,1
False,19,0,0,0,0,1
False,2,0,1,0,1,0
True,0,0,0,0,1,0
False,22,0,0,1,1,0
False,5,0,0,0,1,0
False,9,0,0,0,1,0
False,20,0,0,1,1,0
False,20,0,0,0,1,0
False,15,0,0,0,1,0
False,3,0,0,0,1,0
False,13,0,0,1,1,0
False,18,0,0,1,1,0
False,1,0,0,1,1,0
True,23,0,0,0,1,0
False,17,0,0,0,1,0
False,18,1,0,0,1,0
False,10,0,0,0,1,0
False,14,0,0,1,1,0
False,23,1,0,0,1,0
False,8,0,1,0,1,0
False,0,0,0,0,1,0
False,23,0,0,0,0,1
False,11,0,0,1,1,0
False,18,0,0,0,1,0
True,10,1,0,0,0,1
False,2,0,0,0,1,0
False,12,0,0,0,1,0
False,0,0,0,0,1,0
True,18,0,0,1,1,0
True,19,0,0,0,1,0
False,11,0,0,0,0,1
False,22,1,0,0,0,1
False,21,0,0,1,1,0
False,18,1,0,0,0,1
False,13,0,0,0,1,0
False,16,0,0,0,1,0
True,3,1,0,0,0,1
False,16,1,0,0,1,0
False,3,1,0,0,1,0
False,20,1,0,0,1,0
True,17,0,0,0,1,0
False,1,0,1,0,1,0
False,2,1,0,0,1,0
False,20,1,0,0,1,0
True,13,0,0,0,1,0
False,21,0,0,0,1,0
False,8,0,1,0,1,0
False,5,0,0,0,1,0
False,19,0,0,1,1,0
False,21,0,1,0,1,0
False,21,0,1,0,1,0
True,13,0,0,0,1,0
True,23,0,1,0,1,0
False,18,0,0,0,1,0
False,19,0,0,1,1,0
False,11,1,0,0,0,1
False,4,0,0,0,1,0
False,22,0,0,0,0,1
False,5,1,0,0,0,1
False,15,0,0,1,1,0
False,17,1,0,0,1,0
False,18,0,0,0,1,0
False,7,0,0,0,1,0
False,0,0,0,0,1,0
False,16,0,0,1,1,0
True,16,0,0,0,1,0
False,15,0,0,0,1,0
False,11,0,0,0,1,0
False,1,0,0,0,1,0
False,14,0,0,1,1,0
False,19,0,0,0,1,0
False,20,1,0,0,1,0
False,0,0,0,1,1,0
False,20,0,0,1,1,0
True,17,0,0,0,1,0
False,15,0,0,0,1,0
True,8,0,0,0,1,0
False,14,0,0,0,1,0
False,10,0,0,0,1,0
False,6,0,0,1,1,0
False,17,1,0,0,1,0
False,7,1,0,0,0,1
False,14,0,0,0,1,0
False,3,0,1,0,0,1
False,10,1,0,0,1,0
True,20,0,0,0,1,0
False,12,0,0,1,1,0
False,9,0,0,1,1,0
False,12,0,0,0,1,0
True,10,0,0,0,1,0
False,19,0,0,0,1,0
False,20,0,1,0,1,0
False,8,0,0,0,1,0
False,16,0,0,0,1,0
True,23,0,0,0,1,0
False,13,0,0,1,1,0
False,5,0,0,0,1,0
True,20,0,0,0,1,0
False,9,0,0,1,1,0
False,12,0,0,0,0,1
True,12,0,0,0,1,0
False,11,1,0,0,0,1
False,10,0,0,1,0,1
True,15,0,0,0,1,0
False,5,0,0,0,1,0
True,18,0,0,0,1,0
False,23,0,1,0,1,0
False,16,0,0,0,1,0
True,20,0,0,1,1,0
False,3,1,0,0,1,0
False,16,0,0,1,1,0
False,4,1,0,0,1,0
False,9,0,1,0,1,0
True,21,0,0,0,1,0
False,9,0,0,0,1,0
False,13,0,0,1,1,0
True,9,0,0,0,1,0
False,18,0,0,0,1,0
False,2,0,1,0,1,0
False,19,0,0,0,1,0
False,13,0,0,0,1,0
False,12,1,0,0,1,0
False,19,0,1,0,1,0
False,20,0,0,0,1,0
True,17,1,0,0,1,0
True,14,0,0,0,1,0
False,12,0,0,1,1,0
False,14,0,0,0,1,0
False,0,1,0,0,1,0
False,11,0,0,0,1,0
False,23,0,0,0,1,0
False,22,0,0,0,0,1
True,21,0,0,0,1,0
False,9,1,0,0,1,0
False,4,0,1,0,1,0
False,1,1,0,0,1,0
False,2,0,0,1,1,0
False,19,0,0,1,1,0
False,19,0,1,0,1,0
False,9,0,0,1,1,0
False,9,0,0,0,1,0
False,0,1,0,0,1,0
False,9,0,0,0,1,0
True,12,1,0,0,1,0
False,6,0,0,0,1,0
False,7,0,0,0,1,0
False,19,0,0,1,1,0
False,20,0,0,0,0,1
True,4,0,1,0,1,0
False,3,0,0,1,1,0
False,4,0,0,0,0,1
False,16,0,0,0,1,0
True,14,0,0,0,1,0
False,21,0,0,1,1,0
False,14,0,0,1,1,0
False,23,0,0,1,1,0
False,11,1,0,0,0,1
False,2,1,0,0,1,0
False,11,1,0,0,1,0
False,14,0,0,1,1,0
False,21,0,1,0,1,0
False,17,0,0,0,1,0
False,11,0,0,0,1,0
False,20,0,1,0,1,0
False,8,0,0,0,1,0
False,12,0,0,0,1,0
False,21,0,1,0,1,0
False,12,0,0,1,1,0
False,7,0,0,0,1,0
False,14,0,0,1,1,0
False,9,0,0,0,0,1
False,10,0,0,0,1,0
False,14,1,0,0,0,1
False,21,0,1,0,1,0
False,0,0,0,0,1,0
False,1,0,1,0,1,0
False,3,0,1,0,1,0
False,2,0,1,0,1,0
False,5,0,1,0,1,0
False,12,1,0,0,1,0
False,8,0,0,0,1,0
False,9,0,0,0,1,0
False,1,0,1,0,1,0
False,22,0,0,0,0,1
True,17,0,0,0,1,0
False,22,1,0,0,1,0
False,9,0,0,0,1,0
False,0,0,0,0,0,1
False,21,1,0,0,0,1
False,10,0,0,0,1,0
False,21,1,0,0,0,1
False,4,0,0,0,0,1
False,8,1,0,0,0,1
False,1,1,0,0,0,1
False,2,0,0,1,1,0
True,19,0,0,1,1,0
False,19,0,0,0,1,0
False,15,1,0,0,0,1
False,1,0,0,1,1,0
False,7,1,0,0,0,1
False,22,0,0,0,1,0
True,16,0,0,1,1,0
True,22,0,0,0,1,0
True,14,0,0,0,1,0
False,18,0,0,1,1,0
False,15,0,0,1,1,0
False,10,0,0,1,1,0
False,23,0,0,0,1,0
False,10,0,0,0,1,0
False,15,0,0,1,1,0
False,22,0,0,0,1,0
True,4,1,0,0,0,1
False,17,1,0,0,0,1
False,7,0,0,1,1,0
False,14,0,0,0,0,1
True,18,0,0,0,1,0
False,0,1,0,0,1,0
False,6,0,0,0,1,0
False,12,0,0,1,1,0
False,1,1,0,0,0,1
False,0,0,0,1,1,0
False,14,0,0,1,1,0
True,20,0,0,0,1,0
False,1,0,0,0,1,0
True,15,0,0,0,1,0
False,6,0,0,0,1,0
False,12,0,0,1,1,0
False,18,0,1,0,1,0
False,9,0,1,0,1,0
False,16,0,0,0,1,0
True,22,1,0,0,1,0
False,10,0,1,0,1,0
True,18,0,0,0,1,0
False,23,1,0,0,0,1
False,23,0,0,0,1,0
False,23,0,0,1,1,0
False,9,0,0,0,1,0
False,12,0,0,0,1,0
True,18,0,0,0,1,0
True,0,0,0,0,0,1
True,19,0,0,0,1,0
False,18,0,0,0,1,0
False,11,0,0,0,1,0
False,18,1,0,0,1,0
True,8,0,0,1,1,0
False,13,0,0,1,1,0
False,20,0,0,0,0,1
True,1,0,0,0,1,0
False,17,1,0,0,1,0
True,15,0,0,0,1,0
False,14,0,1,0,1,0
True,7,1,0,0,0,1
True,14,1,0,0,0,1
True,13,0,0,0,1,0
True,22,0,0,0,1,0
False,12,0,0,1,1,0
False,20,0,0,0,1,0
False,9,0,0,1,1,0
False,14,0,0,0,1,0
False,5,0,0,0,1,0
True,3,0,1,0,1,0
False,17,0,0,1,1,0
False,6,0,0,0,1,0
False,23,0,0,0,1,0
True,1,1,0,0,0,1
False,16,1,0,0,1,0
True,4,0,0,0,0,1
False,14,0,0,1,1,0
True,23,0,0,0,1,0
False,18,0,0,0,1,0
False,13,0,1,0,1,0
False,23,0,0,0,1,0
False,2,0,1,0,1,0
True,11,0,0,0,1,0
False,14,0,1,0,1,0
False,22,0,0,0,1,0
False,10,0,0,0,1,0
False,20,0,0,0,1,0
False,17,1,0,0,1,0
False,16,1,0,0,1,0
False,0,0,0,1,1,0
False,17,0,0,0,1,0
False,9,0,0,0,1,0
False,9,0,0,1,1,0
False,15,0,0,0,1,0
True,12,1,0,0,1,0
False,14,0,0,0,1,0
False,8,0,0,0,1,0
False,20,0,0,0,1,0
False,1,0,0,0,1,0
False,16,1,0,0,1,0
False,21,1,0,0,1,0
False,15,0,0,1,1,0
False,18,0,0,1,1,0
True,10,0,0,0,1,0
False,21,1,0,0,0,1
False,18,0,0,0,1,0
False,15,0,0,0,1,0
False,11,0,0,0,1,0
True,11,0,0,0,1,0
False,15,0,1,0,1,0
False,11,0,0,0,1,0
False,5,0,0,0,1,0
False,21,0,1,0,1,0
False,21,0,0,0,1,0
True,16,0,0,0,1,0
False,9,0,0,0,1,0
False,15,0,0,1,0,1
False,16,0,0,1,1,0
True,23,0,0,0,0,1
False,15,0,0,0,1,0
False,12,0,0,0,1,0
False,2,0,0,1,1,0
False,17,0,0,1,1,0
False,18,0,0,0,1,0
False,21,1,0,0,0,1
False,11,0,0,0,1,0
True,12,0,0,0,1,0
False,14,0,0,1,1,0
True,4,1,0,0,0,1
False,8,0,0,1,1,0
False,11,0,0,0,1,0
True,23,0,0,0,1,0
False,14,0,0,0,1,0
False,22,0,0,1,1,0
True,23,1,0,0,1,0
False,22,0,0,1,1,0
False,12,0,0,1,1,0
True,18,1,0,0,1,0
False,8,1,0,0,1,0
False,19,0,0,0,1,0
False,11,0,0,1,0,1
False,3,1,0,0,0,1
False,0,1,0,0,1,0
False,11,0,0,0,1,0
False,8,0,0,0,1,0
False,10,0,0,1,1,0
False,12,0,0,0,1,0
False,16,0,0,0,1,0
True,12,0,0,0,1,0
False,0,0,1,0,1,0
False,6,0,1,0,1,0
False,17,0,0,1,1,0
False,1,0,0,0,1,0
False,2,0,1,0,1,0
True,15,1,0,0,1,0
False,14,1,0,0,1,0
False,17,0,0,1,1,0
False,19,0,0,1,1,0
False,4,0,0,0,1,0
False,21,0,0,1,1,0
True,14,0,0,0,1,0
False,21,1,0,0,1,0
False,19,0,0,1,1,0
False,11,0,0,1,1,0
False,8,0,0,0,0,1
False,12,0,0,0,1,0
False,22,1,0,0,1,0
False,12,1,0,0,1,0
False,10,1,0,0,1,0
False,9,0,0,1,1,0
True,7,0,0,0,1,0
False,21,0,0,0,1,0
False,19,0,1,0,1,0
False,18,0,0,1,1,0
False,5,0,0,0,1,0
False,6,0,0,0,1,0
False,19,0,0,1,1,0
False,12,0,0,1,1,0
False,18,0,0,0,0,1
False,19,0,1,0,1,0
False,2,0,0,1,1,0
False,17,1,0,0,1,0
False,23,0,1,0,1,0
False,20,0,0,0,1,0
False,0,0,0,0,0,1
False,12,1,0,0,1,0
True,10,0,0,0,1,0
False,11,0,1,0,0,1
False,19,0,0,0,1,0
True,13,0,0,1,1,0
True,14,0,0,0,1,0
True,11,0,0,0,1,0
False,17,1,0,0,1,0
False,21,0,0,0,1,0
True,23,0,0,0,1,0
False,22,1,0,0,0,1
False,2,0,0,0,1,0
False,22,0,0,1,1,0
False,13,0,0,1,1,0
False,3,0,0,1,1,0
False,20,0,0,1,1,0
False,7,0,0,1,1,0
False,8,0,0,1,1,0
False,15,0,0,1,1,0
False,18,0,0,1,1,0
False,8,0,0,1,1,0
False,14,0,1,0,1,0
True,0,1,0,0,0,1
False,17,0,0,0,1,0
True,14,0,0,0,1,0
False,9,0,0,0,1,0
False,7,0,0,0,1,0
True,21,0,0,0,1,0
True,13,0,0,0,1,0
False,6,0,0,0,1,0
True,9,0,0,0,1,0
True,11,0,0,0,1,0
False,3,0,0,1,1,0
False,15,0,0,0,1,0
False,20,0,0,0,1,0
False,9,0,0,0,1,0
True,17,0,0,0,1,0
False,11,0,0,1,1,0
True,18,1,0,0,1,0
False,5,0,0,1,1,0
False,19,0,0,1,1,0
False,12,0,0,0,1,0
False,22,1,0,0,0,1
False,3,0,0,1,1,0
False,16,0,0,0,1,0
True,13,0,0,0,1,0
False,4,0,0,1,1,0
False,6,1,0,0,0,1
False,12,0,0,0,1,0
False,15,0,0,1,1,0
False,13,1,0,0,0,1
True,2,1,0,0,1,0
False,23,0,0,0,1,0
False,8,0,0,1,1,0
False,13,0,0,0,1,0
False,19,0,0,0,0,1
False,7,1,0,0,0,1
False,16,1,0,0,1,0
False,8,0,0,1,1,0
False,5,0,1,0,1,0
True,15,0,0,0,1,0
False,9,0,0,0,1,0
True,2,1,0,0,0,1
True,11,0,0,0,1,0
False,12,0,0,1,1,0
False,12,0,1,0,1,0
False,21,1,0,0,1,0
False,0,0,0,0,0,1
True,9,0,0,0,1,0
False,13,0,0,1,1,0
False,17,0,0,1,1,0
True,15,0,0,1,1,0
False,15,0,1,0,0,1
False,18,0,0,1,1,0
False,8,1,0,0,0,1
False,20,0,1,0,1,0
True,21,0,0,0,1,0
True,14,0,0,1,1,0
False,22,0,0,0,1,0
False,12,0,0,1,1,0
True,9,0,0,0,1,0
False,16,0,0,0,1,0
False,9,1,0,0,0,1
False,15,0,0,1,1,0
False,11,0,1,0,1,0
True,14,0,0,0,1,0
False,23,0,0,0,1,0
False,17,0,0,1,1,0
True,11,1,0,0,1,0
False,21,1,0,0,0,1
False,22,1,0,0,0,1
True,20,0,0,0,1,0
False,10,0,1,0,1,0
True,22,0,0,0,1,0
False,15,0,0,1,1,0
False,16,1,0,0,1,0
False,1,0,1,0,0,1
False,19,0,0,1,1,0
False,17,1,0,0,0,1
False,22,0,0,1,1,0
False,20,0,0,0,1,0
False,14,0,0,0,1,0
False,10,0,0,1,1,0
False,13,0,0,0,1,0
False,15,1,0,0,1,0
True,20,0,0,1,1,0
False,22,1,0,0,0,1
False,20,1,0,0,0,1
False,12,0,1,0,1,0
False,22,0,0,0,1,0
False,9,0,0,1,1,0
False,22,0,1,0,1,0
False,10,0,0,0,1,0
False,20,0,0,0,1,0
True,18,0,0,0,1,0
False,8,0,1,0,1,0
False,21,0,0,0,1,0
False,8,1,0,0,1,0
True,1,1,0,0,1,0
False,0,0,0,1,1,0
False,20,0,0,0,1,0
False,7,0,1,0,1,0
True,1,0,0,0,1,0
False,19,0,1,0,1,0
False,9,0,0,0,1,0
False,12,0,0,1,1,0
False,11,1,0,0,0,1
True,21,0,0,0,1,0
False,22,0,0,0,1,0
True,14,1,0,0,1,0
False,20,1,0,0,1,0
False,0,0,1,0,1,0
False,20,1,0,0,1,0
False,18,0,0,0,1,0
False,23,1,0,0,1,0
True,0,0,0,0,1,0
False,16,0,1,0,1,0
False,1,1,0,0,0,1
False,2,0,0,0,1,0
False,20,0,0,1,1,0
False,13,0,0,0,1,0
False,18,0,0,1,1,0
False,14,0,0,0,1,0
False,20,0,0,1,1,0
True,22,1,0,0,1,0
False,17,0,0,0,1,0
False,14,0,0,1,1,0
False,19,0,1,0,1,0
False,15,0,0,0,1,0
False,10,0,1,0,1,0
False,16,0,0,1,1,0
False,19,0,0,0,1,0
False,23,1,0,0,1,0
True,19,0,0,1,1,0
False,12,1,0,0,0,1
False,13,0,0,1,1,0
True,0,1,0,0,1,0
False,19,0,1,0,0,1
False,12,0,0,1,1,0
True,19,0,0,0,1,0
False,13,0,1,0,1,0
False,15,0,0,1,1,0
False,10,0,0,1,1,0
False,21,1,0,0,1,0
False,23,1,0,0,0,1
False,11,0,0,1,1,0
False,15,0,0,0,1,0
True,18,1,0,0,0,1
False,10,0,0,0,1,0
False,5,0,0,0,1,0
False,20,0,0,0,1,0
False,5,0,0,0,1,0
True,19,0,0,0,1,0
False,12,0,0,0,1,0
False,12,0,0,0,1,0
True,11,0,0,0,1,0
False,17,0,0,1,1,0
False,3,0,0,1,1,0
True,19,0,0,0,1,0
False,21,0,0,1,1,0
False,15,0,0,0,1,0
True,5,1,0,0,1,0
False,21,0,1,0,1,0
False,22,1,0,0,1,0
True,22,0,0,0,1,0
False,15,0,0,1,1,0
False,23,1,0,0,1,0
False,14,0,0,1,1,0
True,13,0,0,0,1,0
False,20,0,0,0,1,0
False,17,0,0,0,1,0
False,19,0,0,1,1,0
False,8,1,0,0,0,1
False,2,0,1,0,1,0
False,9,0,0,0,1,0
False,1,0,0,0,1,0
False,14,1,0,0,0,1
False,19,0,0,0,1,0
False,9,1,0,0,1,0
True,14,0,0,0,1,0
False,16,0,0,1,1,0
True,0,0,0,0,1,0
False,8,0,0,1,1,0
True,21,0,0,0,1,0
False,14,0,0,0,1,0
False,13,0,0,0,1,0
False,11,0,0,1,1,0
False,12,0,0,1,1,0
False,14,0,0,1,1,0
False,14,0,0,0,1,0
